TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD,Probability_Success,Name
1.8,7.8,4.2,21,15,163,1,0.0006692176917034004,Isaiah Hamilton
0.8,14.3,2.6,10,7,143,1,0.00066894247459441,Rweha Munyagi
2.4,5.6,7.3,22,11,124,0,0.0006678504736567235,Phillippe Wesley II
3.9,5.6,14.7,47,29,261,0,0.0006672158117349323,Mikey Matthews
1.4,7.4,4.9,18,13,133,2,0.000665476661725861,Isaac Jernagin
1.4,7.4,4.9,18,13,133,2,0.000665476661725861,Isaac Jernagin
0.4,92.8,6.9,4,18,371,1,0.0006646153547442227,Joey Isabella
1.4,8.9,2.6,10,3,89,0,0.0006623162282054361,Gamarion Carter
2.6,7.2,7.5,29,21,209,0,0.0006608426773266931,Malique Dieudonne
1.6,6.7,4.4,19,9,127,1,0.0006602698962063022,Darion Williamson
0.0,0.0,0.0,0,18,144,2,0.0006602601390248024,Roy Alexander
0.5,53.7,15.4,6,29,322,2,0.0006590367165261567,Tink Boyd
0.4,71.8,13.3,4,22,287,3,0.0006579887349127349,Wesley Eliodor
1.4,16.9,17.5,10,14,169,0,0.0006576348438711757,Nate Bennett
1.5,7.3,5.2,3,1,22,0,0.0006557017019620231,Jalin Cooper
0.0,0.0,0.0,0,15,184,0,0.0006533050681730306,Ger-Cari Caldwell
1.8,7.6,7.5,27,22,204,2,0.0006527775674269938,Semaj Morgan
2.9,5.5,8.1,38,22,209,1,0.0006508901581116896,Octavian Smith
1.0,10.9,2.7,11,7,120,1,0.0006506637268308234,Devin Price
0.8,13.5,2.2,10,7,135,1,0.0006499761996422251,Tychaun Chapman
1.8,5.9,6.8,22,15,129,2,0.0006496670303906085,Isaiah Sategna
1.9,7.7,5.0,21,12,161,0,0.0006490852776569325,Marlion Jackson
2.2,6.7,7.1,29,19,194,1,0.0006486238456747274,Chas Nimrod
0.0,0.0,0.0,0,7,107,1,0.0006484713349964302,DreSean Kendrick
1.5,4.6,3.0,12,4,55,1,0.0006474104010825084,Corey Thompson Jr.
1.8,6.4,5.3,21,12,135,1,0.0006451872120461684,Jadon Thompson
0.9,9.6,3.3,11,4,106,1,0.000644948693604728,Isaah Crocker
0.9,7.5,2.9,11,6,83,2,0.0006446629368060234,Richie Hoskins
1.1,8.9,3.5,14,7,124,1,0.0006446167998535854,Dominic Gicinto
1.0,6.5,2.8,13,6,85,2,0.0006444301086462441,Loic Fouonji
1.5,2.0,0.5,3,1,6,0,0.0006435689015320326,Mason Wheeler
2.4,5.0,15.2,29,14,145,1,0.0006432894280956528,Jayden Umbarger
1.6,9.2,3.3,13,9,120,0,0.0006428092496763996,Eddie Lewis
1.3,6.8,4.5,15,11,102,2,0.0006415389636512275,Creed Whittemore
1.3,7.5,3.8,17,8,128,1,0.0006411318096926831,Landon Parker
