Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Tip Reiman,TE,Illinois,College Stats,6-5,271,4.64,33.5,28,121,7.02,4.26,
Brenden Rice,WR,USC,College Stats,6-2,208,4.50,36.5,13,119,,,
Decamerion Richardson,CB,Mississippi St.,College Stats,6-2,188,4.34,35.0,,128,,,
Demani Richardson,SAF,Texas A&M,College Stats,6-1,210,4.60,31.0,,116,,,
Chop Robinson,EDGE,Penn St.,,6-3,254,4.48,34.5,,128,,4.25,
Darius Robinson,DE,Missouri,College Stats,6-5,285,4.95,35.0,21,111,,,
Keilan Robinson,RB,Texas,College Stats,5-8,191,4.42,33.0,,125,,,
Layden Robinson,G,Texas A&M,College Stats,6-4,302,,26.5,,111,,,
Tayvion Robinson,WR,Kentucky,College Stats,5-11,191,,,,,,,
Justin Rogers,DT,Auburn,College Stats,6-3,330,,24.5,21,99,,4.87,
Christian Roland-Wallace,CB,USC,College Stats,6-0,201,,,17,,,,
Marcus Rosemy-Jacksaint,WR,Georgia,College Stats,6-1,195,,35.0,,119,,,
Roger Rosengarten,OT,Washington,College Stats,6-5,308,4.92,30.0,,113,,4.60,
Walter Rouse,OT,Oklahoma,College Stats,6-6,313,,,,,,,
Mike Sainristil,CB,Michigan,College Stats,5-9,182,4.47,40.0,14,131,6.99,4.01,
Andre' Sam,SAF,LSU,,5-11,191,4.59,36.0,,123,,,
Nick Samac,C,Michigan St.,College Stats,6-4,307,,,,,,,
Ja'Tavion Sanders,TE,Texas,College Stats,6-4,245,4.69,,,,,4.32,
Cody Schrader,RB,Missouri,College Stats,5-9,202,4.61,33.0,,,,,
Will Shipley,RB,Clemson,College Stats,5-11,206,,,,,,,
Jaden Shirden,RB,Monmouth,,5-8,187,4.45,34.5,,117,,,
Jaylin Simpson,SAF,Auburn,College Stats,6-0,179,4.45,39.5,,133,,,
Ben Sinnott,TE,Kansas St.,College Stats,6-4,250,4.68,40.0,,126,6.82,4.23,
Kedon Slovis,QB,BYU,College Stats,6-3,223,4.55,30.0,,118,,,
Ainias Smith,WR,Texas A&M,College Stats,5-9,190,,,21,,,,
Maason Smith,DT,LSU,College Stats,6-5,306,5.01,31.0,,108,7.62,4.69,
Tykee Smith,SAF,Georgia,College Stats,5-10,202,4.46,36.0,,120,,,
Chau Smith-Wade,CB,Washington St.,College Stats,5-10,184,4.54,34.5,18,125,7.05,4.32,
Javon Solomon,EDGE,Troy,College Stats,6-1,246,4.72,37.0,23,119,,,
Brevyn Spann-Ford,TE,Minnesota,College Stats,6-7,260,4.77,31.5,,116,7.38,,
Fabien Lovett Sr.,DT,Florida St.,,6-4,314,,,,,,,
Tarheeb Still,CB,Maryland,College Stats,6-0,189,4.52,38.0,,120,,,
Cade Stover,TE,Ohio St.,College Stats,6-4,247,4.65,34.5,,117,,4.45,
Kingsley Suamataia,OT,BYU,College Stats,6-5,326,5.04,28.0,,110,,,
Jalen Sundell,C,North Dakota St.,,6-5,301,,,,,,,
T'Vondre Sweat,DT,Texas,College Stats,6-5,366,5.27,26.0,,98,,,
Marques Tampa,CB,Iowa St.,,6-1,189,,,,,,,
Leonard Taylor,DT,Miami,College Stats,6-4,303,5.12,30.0,,109,7.81,,
Tory Taylor,P,Iowa,College Stats,6-4,223,,,,,,,
Dadrion Taylor-Demerson,SAF,Texas Tech,College Stats,5-10,197,4.41,38.0,,123,,,
Brian Thomas,WR,LSU,College Stats,6-3,209,4.33,38.5,11,126,,,
Nathan Thomas,OT,Louisiana,,6-5,332,5.19,25.0,,107,8.01,,
Xavier Thomas,EDGE,Clemson,College Stats,6-2,244,4.62,32.5,26,120,,,
Jamari Thrash,WR,Louisville,College Stats,6-0,188,4.46,34.0,,120,7.16,,
Ro Torrence,CB,Arizona St.,College Stats,6-3,208,,,,,,,
Jordan Travis,QB,Florida St.,College Stats,6-1,200,,,,,,,
Bralen Trice,EDGE,Washington,College Stats,6-4,245,4.72,,,,,,
Zion Tupuola-Fetui,EDGE,Washington,College Stats,6-3,244,,,,,,,
Charles Turner,C,LSU,College Stats,6-4,303,,31.0,,109,7.88,4.62,
Dallas Turner,EDGE,Alabama,College Stats,6-3,247,4.46,40.5,,127,,,
David Ugwoegbu,EDGE,Houston,College Stats,6-4,250,,31.5,21,,,,
Edefuan Ulofoshio,LB,Washington,College Stats,6-1,236,4.56,39.5,,128,,,
Sione Vaki,SAF,Utah,College Stats,5-11,210,4.62,39.5,20,125,,,
Devaughn Vele,WR,Utah,College Stats,6-4,203,4.47,36.0,,126,,,
Jared Verse,EDGE,Florida St.,College Stats,6-4,254,4.58,35.0,31,127,7.31,4.44,
Kimani Vidal,RB,Troy,College Stats,5-8,213,4.46,37.5,18,120,7.01,4.15,
Devontez Walker,WR,North Carolina,College Stats,6-2,193,4.36,40.5,,134,,,
Caedan Wallace,OT,Penn St.,College Stats,6-5,314,5.15,31.0,,116,,,
Josh Wallace,CB,Michigan,College Stats,5-11,185,,34.5,13,120,,4.35,
Trevin Wallace,LB,Kentucky,College Stats,6-1,237,4.51,37.5,,127,,,
Malik Washington,WR,Virginia,College Stats,5-9,191,4.47,42.5,19,126,,,
Tahj Washington,WR,USC,College Stats,5-10,174,,35.0,,122,,,
Nathaniel Watson,LB,Mississippi St.,College Stats,6-2,233,4.63,31.0,,111,,,
Eric Watts,DE,Connecticut,College Stats,6-6,274,4.67,36.5,21,117,7.59,4.73,
Ryan Watts,CB,Texas,College Stats,6-3,208,4.53,40.5,,125,6.82,4.13,
Xavier Weaver,WR,Colorado,College Stats,6-0,169,,,,,,,
Jack Westover,TE,Washington,College Stats,6-3,243,,,,,,,
Jordan Whittington,WR,Texas,College Stats,6-1,205,,,18,,,,
Nate Wiggins,CB,Clemson,College Stats,6-1,173,4.28,36.0,,127,,,
Jared Wiley,TE,TCU,College Stats,6-6,249,4.62,37.0,,118,7.19,,
Michael Wiley,RB,Arizona,College Stats,5-11,210,4.51,33.5,,119,,4.43,
Caleb Williams,QB,USC,College Stats,6-1,214,,,,,,,
Evan Williams,SAF,Oregon,College Stats,5-11,200,4.60,40.5,,126,,,
Isaiah Williams,WR,Illinois,College Stats,5-9,182,4.63,38.0,17,123,6.75,,
James Williams,SAF,Miami,College Stats,6-4,231,4.65,30.0,,117,,,
Miyan Williams,RB,Ohio St.,College Stats,5-9,229,,,,,,,
Johnny Wilson,WR,Florida St.,College Stats,6-6,231,4.52,37.0,,128,,4.11,
Payton Wilson,LB,North Carolina St.,College Stats,6-4,233,4.43,34.5,,119,,,
Roman Wilson,WR,Michigan,College Stats,5-11,185,4.39,,12,,,,
Mekhi Wingo,DT,LSU,College Stats,6-0,284,4.85,31.5,25,109,,,
Xavier Worthy,WR,Texas,College Stats,5-11,165,4.21,41.0,,131,,,
Jaylen Wright,RB,Tennessee,College Stats,5-11,210,4.38,38.0,,134,,,
Zak Zinter,G,Michigan,College Stats,6-6,309,,,,,,,

